Date,Price,Open,High,Low,Vol.,Change %
5/10/2007,1491.47,"1,512.33","1,512.33","1,491.42",-,-1.40%
5/11/2007,1505.85,"1,491.47","1,506.24","1,491.47",-,0.96%
5/14/2007,1503.15,"1,505.76","1,510.90","1,498.34",-,-0.18%
5/15/2007,1501.19,"1,503.11","1,514.83","1,500.43",-,-0.13%
5/16/2007,1514.14,"1,500.75","1,514.15","1,500.75",-,0.86%
5/17/2007,1512.75,"1,514.01","1,517.14","1,509.29",-,-0.09%
5/18/2007,1522.75,"1,512.74","1,522.75","1,512.74",-,0.66%
5/21/2007,1525.1,"1,522.75","1,529.87","1,522.71",-,0.15%
5/22/2007,1524.12,"1,525.10","1,529.24","1,522.05",-,-0.06%
5/23/2007,1522.28,"1,524.09","1,532.43","1,521.90",-,-0.12%
5/24/2007,1507.51,"1,522.10","1,529.31","1,505.18",-,-0.97%
5/25/2007,1515.73,"1,507.50","1,517.41","1,507.50",-,0.55%
5/29/2007,1518.11,"1,515.55","1,521.80","1,512.02",-,0.16%
5/30/2007,1530.23,"1,517.60","1,530.23","1,510.06",-,0.80%
5/31/2007,1530.62,"1,530.19","1,535.56","1,528.26",-,0.03%
6/1/2007,1536.34,"1,530.62","1,540.56","1,530.62",-,0.37%
6/4/2007,1539.18,"1,536.28","1,540.53","1,532.31",-,0.18%
6/5/2007,1530.95,"1,539.12","1,539.12","1,525.62",-,-0.53%
6/6/2007,1517.38,"1,530.57","1,530.57","1,514.13",-,-0.89%
6/7/2007,1490.72,"1,517.36","1,517.36","1,490.37",-,-1.76%
6/8/2007,1507.67,"1,490.71","1,507.76","1,487.41",-,1.14%
6/11/2007,1509.12,"1,507.64","1,515.53","1,503.35",-,0.10%
6/12/2007,1493,"1,509.12","1,511.33","1,492.97",-,-1.07%
6/13/2007,1515.67,"1,492.65","1,515.70","1,492.65",-,1.52%
6/14/2007,1522.97,"1,515.58","1,526.45","1,515.58",-,0.48%
6/15/2007,1532.91,"1,522.97","1,538.71","1,522.97",-,0.65%
6/18/2007,1531.05,"1,532.90","1,535.44","1,529.31",-,-0.12%
6/19/2007,1533.7,"1,531.02","1,535.85","1,525.67",-,0.17%
6/20/2007,1512.84,"1,533.68","1,537.32","1,512.36",-,-1.36%
6/21/2007,1522.19,"1,512.50","1,522.90","1,504.75",-,0.62%
6/22/2007,1502.56,"1,522.19","1,522.19","1,500.74",-,-1.29%
6/25/2007,1497.74,"1,502.56","1,514.29","1,492.68",-,-0.32%
6/26/2007,1492.89,"1,497.68","1,506.12","1,490.54",-,-0.32%
6/27/2007,1506.34,"1,492.62","1,506.80","1,484.18",-,0.90%
6/28/2007,1505.71,"1,506.32","1,514.84","1,503.41",-,-0.04%
6/29/2007,1503.35,"1,505.70","1,517.53","1,493.61",-,-0.16%
7/2/2007,1519.43,"1,504.66","1,519.45","1,504.66",-,1.07%
7/3/2007,1524.87,"1,519.12","1,526.01","1,519.12",-,0.36%
7/5/2007,1525.4,"1,524.86","1,526.57","1,517.72",-,0.03%
7/6/2007,1530.44,"1,524.96","1,532.40","1,520.47",-,0.33%
7/9/2007,1531.85,"1,530.43","1,534.26","1,527.45",-,0.09%
7/10/2007,1510.12,"1,531.85","1,531.85","1,510.01",-,-1.42%
7/11/2007,1518.76,"1,509.93","1,519.34","1,506.10",-,0.57%
7/12/2007,1547.7,"1,518.74","1,547.92","1,518.74",-,1.91%
7/13/2007,1552.5,"1,547.68","1,555.10","1,544.85",-,0.31%
7/16/2007,1549.52,"1,552.50","1,555.90","1,546.69",-,-0.19%
7/17/2007,1549.37,"1,549.52","1,555.32","1,547.74",-,-0.01%
7/18/2007,1546.17,"1,549.20","1,549.20","1,533.67",-,-0.21%
7/19/2007,1553.08,"1,546.13","1,555.20","1,546.13",-,0.45%
7/20/2007,1534.1,"1,553.19","1,553.19","1,529.20",-,-1.22%
7/23/2007,1541.57,"1,534.06","1,547.23","1,534.06",-,0.49%
7/24/2007,1511.04,"1,541.57","1,541.57","1,508.62",-,-1.98%
7/25/2007,1518.09,"1,511.03","1,524.31","1,503.73",-,0.47%
7/26/2007,1482.66,"1,518.09","1,518.09","1,465.30",-,-2.33%
7/27/2007,1458.95,"1,482.44","1,488.53","1,458.95",-,-1.60%
7/30/2007,1473.91,"1,458.93","1,477.88","1,454.32",-,1.03%
7/31/2007,1455.27,"1,473.90","1,488.30","1,454.25",-,-1.26%
8/1/2007,1465.81,"1,455.18","1,468.38","1,439.59",-,0.72%
8/2/2007,1472.2,"1,465.46","1,476.43","1,460.58",-,0.44%
8/3/2007,1433.06,"1,472.18","1,473.23","1,432.80",-,-2.66%
8/6/2007,1467.67,"1,433.04","1,467.67","1,427.39",-,2.42%
8/7/2007,1476.71,"1,467.62","1,488.30","1,455.80",-,0.62%
8/8/2007,1497.49,"1,476.22","1,503.89","1,476.22",-,1.41%
8/9/2007,1453.09,"1,497.21","1,497.21","1,453.09",-,-2.96%
8/10/2007,1453.64,"1,453.09","1,462.02","1,429.74",-,0.04%
8/13/2007,1452.92,"1,453.42","1,466.29","1,451.54",-,-0.05%
8/14/2007,1426.54,"1,452.87","1,456.74","1,426.20",-,-1.82%
8/15/2007,1406.7,"1,426.15","1,440.78","1,404.36",-,-1.39%
8/16/2007,1411.27,"1,406.64","1,415.97","1,370.60",-,0.32%
8/17/2007,1445.94,"1,411.26","1,450.33","1,411.26",-,2.46%
8/20/2007,1445.55,"1,445.94","1,451.75","1,430.54",-,-0.03%
8/21/2007,1447.12,"1,445.55","1,455.32","1,439.76",-,0.11%
8/22/2007,1464.07,"1,447.03","1,464.86","1,447.03",-,1.17%
8/23/2007,1462.5,"1,464.05","1,472.06","1,453.88",-,-0.11%
8/24/2007,1479.37,"1,462.34","1,479.40","1,460.54",-,1.15%
8/27/2007,1466.79,"1,479.36","1,479.36","1,465.98",-,-0.85%
8/28/2007,1432.36,"1,466.72","1,466.72","1,432.01",-,-2.35%
8/29/2007,1463.76,"1,432.01","1,463.76","1,432.01",-,2.19%
8/30/2007,1457.64,"1,463.67","1,468.43","1,451.25",-,-0.42%
